koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_model_snr
FALSE POSITIVE,0,1,1,1,10.44331991,2.743,1159.8,0.23,2.66,667,46.94,4947,4.516,0.802,51.7
CONFIRMED,0,0,0,0,2.237489571,1.8119,315.8,0.128,1.41,1160,427.17,5265,4.58,0.81,30.7
FALSE POSITIVE,0,1,0,0,5.851520671,3.11058,33004.0,0.211,14.62,901,155.89,5532,4.53,0.806,1630.4
CONFIRMED,0,0,0,0,3.167893418,2.1814,781.2,0.026,2.62,1221,526.23,5895,4.503,0.94,64.8
CONFIRMED,0,0,0,0,4.311780262,2.7251,1154.0,0.196,3.11,1038,274.84,5527,4.484,0.927,86.1
CONFIRMED,0,0,0,0,20.0504494,4.556,840.9,0.383,2.69,622,35.44,5527,4.484,0.927,37.8
CONFIRMED,0,0,0,0,9.76734503,1.6585,569.1,0.9,2.67,791,92.46,5527,4.484,0.927,21.1
CANDIDATE,0,0,0,0,119.0207044,8.1405,7430.5,0.076,8.98,366,4.25,5453,4.342,1.062,223.5
CONFIRMED,0,0,0,0,190.3200468,15.284,1141.7,0.812,7.78,426,7.8,5626,3.907,2.057,139.3
FALSE POSITIVE,0,1,1,0,2.861159894,1.8832,1014.3,0.965,4.37,1355,797.1,6126,4.458,1.021,58.3
CONFIRMED,0,0,0,0,26.44439337,3.9783,1843.5,0.03,3.91,562,23.54,5427,4.463,0.929,88.0
CONFIRMED,0,0,0,0,51.53997972,6.3994,3644.3,0.183,5.51,450,9.67,5427,4.463,0.929,155.5
CONFIRMED,0,0,0,0,5.902245782,2.9003,702.3,0.209,2.43,926,173.74,5427,4.463,0.929,59.3
CONFIRMED,0,0,0,0,2.382951591,1.8876,391.6,0.479,1.86,1253,583.01,5427,4.463,0.929,41.4
CONFIRMED,0,0,0,0,21.02250608,4.1072,1772.5,0.036,3.07,521,17.48,5067,4.585,0.75,62.4
CONFIRMED,0,0,0,0,3.219814777,2.0642,488.2,0.06,1.69,998,234.93,5103,4.562,0.787,30.5
CONFIRMED,0,0,0,0,5.912273234,2.3254,961.4,0.17,1.73,585,27.72,4072,4.696,0.57,62.8
CONFIRMED,0,0,0,0,8.98581901,2.8606,881.3,0.008,1.65,509,15.9,4072,4.696,0.57,51.8
CANDIDATE,0,0,0,0,12.940668656,2.4845,42450.0,0.897,22.94,723,64.64,5875,4.572,0.809,307.5
FALSE POSITIVE,0,1,0,0,20.5452375,2.517,218.5,0.95,2.41,742,71.57,5670,4.206,1.264,18.5
CONFIRMED,0,0,0,0,33.60123371,4.4056,7425.9,0.67,8.46,495,14.22,5149,4.447,0.93,247.9
CONFIRMED,0,0,0,0,6.76652928,2.9004,450.7,0.429,1.97,845,120.48,5149,4.447,0.93,29.2
CONFIRMED,0,0,0,0,4.347288783,2.1024,451.6,0.025,2.36,1174,449.79,5754,4.345,1.122,39.7
CONFIRMED,0,0,0,0,4.601811819,2.2607,755.9,0.567,2.35,896,152.91,4986,4.496,0.833,60.8
CONFIRMED,0,0,0,0,11.18719905,3.252,353.6,0.387,1.55,667,46.65,4986,4.496,0.833,21.9
CONFIRMED,0,0,0,0,4.220965778,3.0854,2260.0,0.705,2.62,595,29.68,3837,4.747,0.517,157.8
FALSE POSITIVE,0,1,0,0,6.998099523,2.0488,20285.0,1.7826,369.2,853,125.22,5612,4.566,0.829,192.3
CONFIRMED,0,0,0,0,5.95489993,2.3892,1410.7,0.327,2.33,635,38.52,4261,4.641,0.633,87.2
CONFIRMED,0,0,0,0,12.03987488,2.7363,1250.6,0.286,2.18,502,15.06,4261,4.641,0.633,57.6
CONFIRMED,0,0,0,0,20.83762895,2.3734,439.0,0.706,1.42,418,7.24,4261,4.641,0.633,14.9
FALSE POSITIVE,0,1,1,1,8.8111022,5.0683,401.1,1.223,63.66,1399,904.92,6200,3.8,2.404,76.8
CONFIRMED,0,0,0,0,23.58917143,5.073,1200.7,0.926,3.16,487,13.34,4919,4.566,0.721,53.3
CONFIRMED,0,0,0,0,6.481633073,3.784,298.5,0.833,2.54,1145,406.25,5945,4.213,1.302,125.6
CONFIRMED,0,0,0,0,10.37168928,3.035,1254.9,0.537,3.2,720,63.68,5121,4.457,0.888,64.5
CONFIRMED,0,0,0,0,3.96996298,1.1757,299.2,0.836,1.78,992,229.37,5121,4.457,0.888,15.0
CONFIRMED,0,0,0,0,4.40841331,5.012,549.4,0.899,2.66,1139,398.0,6007,4.457,0.961,45.1
FALSE POSITIVE,0,1,1,1,7.9426176,6.703,1590.7,0.942,4.68,878,140.57,5811,4.521,0.926,60.4
CONFIRMED,0,0,0,0,226.8904775,7.558,3136.4,0.731,4.53,236,0.73,5067,4.585,0.75,46.8
FALSE POSITIVE,0,1,0,0,1.956811408,2.1958,24905.0,1.091,21.58,1109,357.16,5209,4.657,0.603,125.4
CANDIDATE,0,0,0,0,2.688899233,2.11275,37492.0,0.003,12.04,929,175.76,4820,4.667,0.639,1011.6
CONFIRMED,0,0,0,0,9.439459486,2.8979,3036.1,0.049,4.16,686,52.32,5097,4.597,0.779,175.2
CONFIRMED,0,0,0,0,11.523067458,3.8757,507.3,0.003,3.13,927,174.81,5644,4.162,1.411,142.0
CONFIRMED,0,0,0,0,20.47748843,2.8364,1382.4,0.497,2.92,530,18.65,5097,4.597,0.779,52.7
CONFIRMED,0,0,0,0,3.336123113,1.9616,516.3,0.252,1.74,970,209.79,5097,4.597,0.779,41.6
CONFIRMED,0,0,0,0,8.01078456,2.312,1333.6,0.192,1.72,453,9.9,3713,4.779,0.47,48.5
